,ADMINLVL,AGRIC,BUSH_FOOD,CCODE2K4,DCODE_2K4,DRY,FID,FOOD_SEC,HEALTH,HEA_FUNCT,HHLD,IDP,KINDS_OF_F,NAME_WS,NO__OF_PRO,OID1,OID_,POLICE_STA,POP,P_CODE,P_CODE_1,P_CODE_12,QC_GEO_WS,RETURN_,SCHOOL,SCH_FUNCT,SIZE,STATUS,TRAV_TIME,WET,X_COORD,Y_COORD,OBJECTID,geometry,country_code,sdr_id,sdr_name,sdr_level
0,4, , ,33,3306,Y,1, ,Y,Y,10000.0,P,2.0,Ganta,3.0,16,22,1.0,50000.0,LR0800170,LR0800170,LR0800170,1,P,Y,Y, ,Completed,0.0,Y,-8.98,7.24,1,"""{\""type\"":\""Point\"",\""coordinates\"":[-8.9844399999999,7.2350000000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,6468,Ganta,ADM1
1,2, , ,33,3306,Y,3, ,Y,Y,4350.0,P,2.0,Sanniquellie,2.0,19,24,1.0,21750.0,LR0800416,LR0800416,LR0800416,1,S,Y,Y, ,Planned,0.0,Y,-8.71,7.36,3,"""{\""type\"":\""Point\"",\""coordinates\"":[-8.7061099999999,7.3622200000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,20553,Sanniquellie,ADM1
2,2, , ,18,1804,Y,4, ,Y,Y,150.0,S,3.0,Barclayville,3.0,26,30,1.0,750.0,LR1400003,LR1400003,LR1400003,3,A,Y,Y, ,Planned,0.0,Y,-8.23,4.68,4,"""{\""type\"":\""Point\"",\""coordinates\"":[-8.2335299999999,4.6765100000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,5845,Barclayville,ADM1
3,2, , ,27,2704,Y,5, ,Y,Y,15000.0,P,4.0,Harper,6.0,27,31,1.0,75000.0,LR1500055,LR1500055,LR1500055,1,P,Y,Y, ,Planned,0.0,Y,-7.72,4.38,5,"""{\""type\"":\""Point\"",\""coordinates\"":[-7.7172899999999,4.37575],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,10722,Harper,ADM2
4,2, , ,15,1508,Y,6, ,Y,Y,14000.0,A,4.0,Zwedru,6.0,23,28,1.0,70000.0,LR1200237,LR1200237,LR1200237,1,P,Y,Y, ,Planned,0.0,Y,-8.13,6.07,6,"""{\""type\"":\""Point\"",\""coordinates\"":[-8.12889,6.0672200000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,0,,
5,2, , ,42,4204,Y,7, ,Y,Y,1550.0,P,3.0,Fish Town,3.0,25,29,1.0,7750.0,LR1300012,LR1300012,LR1300012,1,S,Y,Y, ,Planned,0.0,Y,-7.87,5.2,7,"""{\""type\"":\""Point\"",\""coordinates\"":[-7.8746599999999,5.1968400000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,6404,Fish Town,ADM1
6,6, , ,21,2118,Y,8, ,N,N,78.0,S,1.0,Bolongolidu,1.0,0,0,1.0,390.0,LR0100071,LR0100071,LR0100071,2,S,N,N, ,Completed,0.0,Y,-9.66,8.49,8,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.6627799999999,8.4891700000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,0,,
7,6, , ,21,2112,Y,9, ,N,N,100.0,A,2.0,Kailahun,2.0,1,2,1.0,500.0,LR0100212,LR0100212,LR0100212,1,P,Y,N, ,Not Started,0.0,Y,-10.27,8.02,9,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.27222,8.02056],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,74943,Kailahun,PPL
8,6, , ,21,2110,Y,10, ,Y,N,110.0,A,1.0,Solomba ngeyan,1.0,2,4,1.0,550.0,LR0100482,LR0100482,LR0100482,2,S,N,N, ,Not Started,0.0,Y,-10.16,8.5,10,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.16056,8.4977800000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,0,,
9,5, , ,21,2120,Y,11, ,Y,N,800.0,A,1.0,Yella,1.0,3,5,1.0,4000.0,LR0100578,LR0100578,LR0100578,2,S,Y,N, ,Completed,0.0,Y,-9.4,7.83,11,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.4024999999999,7.82583],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,7714,Yeala,ADM1
10,4, , ,21,2120,Y,12, ,Y,Y,2775.0,A,2.0,Zorzor,2.0,4,6,1.0,13875.0,LR0100600,LR0100600,LR0100600,1,U,Y,Y, ,Ongoing,0.0,Y,-9.43,7.78,12,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.4327799999999,7.7777800000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,5650,Zorzor,ADM2
11,2, , ,45,4508,Y,13, ,Y,Y,303.0,A,3.0,Bopolu,3.0,5,7,1.0,1515.0,LR0200033,LR0200033,LR0200033,1,P,Y,Y, ,Ongoing,0.0,Y,-10.49,7.07,13,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.4875,7.06667],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,6073,Bopolu,ADM1
12,2,S, ,12,1208,Y,14, ,Y,Y,1008.0,P,2.0,Robertsport,2.0,6,8,1.0,5040.0,LR0300318,LR0300318,LR0300318,1,S,Y,Y, ,Ongoing,0.0,Y,-11.37,6.75,14,"""{\""type\"":\""Point\"",\""coordinates\"":[-11.36861,6.75333],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,20289,Robertsport,ADM1
13,6,P, ,12,1210,Y,15, ,Y,Y,67.0,P,2.0,Tiene,3.0,7,9,2.0,335.0,LR0300367,LR0300367,LR0300367,1,S,Y,Y, ,Ongoing,0.0,Y,-11.31,6.97,15,"""{\""type\"":\""Point\"",\""coordinates\"":[-11.31279,6.9675100000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,73328,Tiene,PPL
14,2, ,S,3,302, ,16,B,Y,Y,2000.0,P,3.0,Tubmanburg,3.0,8,11,1.0,10000.0,LR0400295,LR0400295,LR0400295,1,S,Y,Y,C,Planned,4.0, ,-10.83,6.87,16,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.82806,6.87111],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,0,,
15,2, , ,30,3002, ,17, , , ,0.0, ,2.0,Bensonville,2.0,9,12,1.0,0.0,LR0500020,LR0500020,LR0500020,9, , , , ,Completed,0.0, ,-10.61,6.45,17,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.6125,6.4461100000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,5927,Bentol,ADM1
16,1, , ,30,3004, ,18, , , ,0.0, ,3.0,Monrovia,12.0,10,14,1.0,0.0,LR0500155,LR0500155,LR0500155,9, , , , ,Ongoing,0.0, ,-10.8,6.31,18,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.80472,6.3105600000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,74188,Monrovia,PPL
17,5, , ,30,3004, ,19, , , ,0.0, ,2.0,Paynesville,3.0,11,15,1.0,0.0,LR0500175,LR0500175,LR0500175,9, , , , ,Ongoing,0.0, ,-10.71,6.27,19,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.70908,6.26752],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,73912,Paynesville,PPL
18,5, , ,30,3004, ,20, , , ,0.0, ,1.0,Westpoint,1.0,12,16,1.0,0.0,LR0500224,LR0500224,LR0500224,9, , , , ,Ongoing,0.0, ,-10.81,6.33,20,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.80618,6.3271100000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,0,,
19,2, , ,24,2406, ,21, , , ,0.0, ,3.0,Kakata,7.0,13,18,1.0,0.0,LR0600117,LR0600117,LR0600117,1, , , , ,Planned,0.0, ,-10.35,6.53,21,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.35167,6.5300000000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,6852,Kakata,ADM1
20,2, , ,6,604,Y,22, ,Y,Y,1000.0,S,3.0,Gbarnga,5.0,15,21,1.0,5000.0,LR0700187,LR0700187,LR0700187,1,P,Y,Y, ,Planned,0.0,Y,-9.47,7.0,22,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.4722199999999,6.9955600000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,0,,
21,2, , ,9,910,Y,23, ,Y,Y,7050.0,P,3.0,Buchanan,5.0,20,25,1.0,35250.0,LR0900184,LR0900184,LR0900184,1,S,Y,Y, ,Planned,0.0,Y,-10.05,5.88,23,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.04667,5.8808300000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,73183,Upper Buchanan,PPL
22,2, , ,36,3604,Y,24, ,Y,Y,200.0,S,3.0,Cestos City,4.0,21,26,1.0,1000.0,LR1000182,LR1000182,LR1000182,1,S,Y,Y, ,Planned,0.0,Y,-9.58,5.46,24,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.58278,5.4600000000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,0,,
23,2, , ,21,2118,Y,25, ,Y,N,3500.0,S,3.0,Voinjama,6.0,29,32,1.0,17500.0,LR9900002,LR9900002,LR9900002,1,S,Y,Y, ,Planned,0.0,Y,-9.75,8.42,25,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.7526099999999,8.4224800000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,7615,Voinjama,ADM1
24,7, , ,6,602,Y,26, ,N,N,5.0,A,1.0,Bong Town,1.0,14,20,1.0,25.0,LR0700063,LR0700063,LR0700063,3,S,N,N, ,Not Started,0.0,Y,-10.36,6.81,26,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.3558,6.80827],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,76324,Bong Town,PPL
25,2, , ,39,3906,Y,27, ,N,N,300.0,A,4.0,Greenville,12.0,22,27,1.0,1500.0,LR1100057,LR1100057,LR1100057,2,P,Y,Y, ,Ongoing,0.0,Y,-9.04,5.01,27,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.0388899999999,5.0111100000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}""",LR,5581,Greenville,ADM2
